strategy_family,strategy_id,period,data_source,n_trades_signals,signals_per_year,win_rate_pct,avg_win_usd,avg_loss_usd,expectancy,expectancy_unit,total_pnl,total_pnl_unit,sl_pct,tp1_pct,tp2_pct,tp3_pct,avg_price_delta_vs_bench,return_delta_vs_bench_pct,benchmark_return_pct,verdict,key_params,notes
Daily Scalping,SMC_SWEEP_ONLY_pullback_best,2024-2025,Dukascopy M5,28,14.0,42.9,,,,+0.55,R,,,,,,,,NON CONCLUANT,"pullback_window=10 min_rr=2.5 sl_buffer=0.10 session=overlap","PF=2.05 — 7 years needed for 100 trades threshold"
Weekly DCA,baseline_monday_open_best,2024-2025,Dukascopy M5,105,52.5,,,,+0.95,R,,,,,,,,+48.5,PROMOTE,"min_rr=3.0 sl=0.05 max_bars=5 TP2=prev_week_high","Baseline beats signal-based entry in bull market"
Weekly DCA,signal_bullish_body,2024-2025,Dukascopy M5,67,33.5,,,,+0.41,R,,,,,,,,+48.5,INFERIOR,"bullish_body + sweep signal","Underperforms baseline Monday open"
DCA Spot Tiered,L1_only_ma4w,2024-2025,Dukascopy M5→D1,209,104.5,,,,,,,,,,,,-0.87,-2.4,+48.5,NON CONCLUANT,"ma4w ref corr_M=-15% (L2 never fires)","Best avg_price but return -2.4% vs bench"
DCA Spot Tiered,L2_active_w2,2024-2025,Dukascopy M5→D1,222,111.0,,,,,,,,,,,,+24.0,-3.0,+48.5,NON CONCLUANT,"w2_close corr_M=-5% mult_M=3×","L2 buys expensive corrections from ATH"
DCA Spot Tiered,L3_never_triggered,2024-2025,Dukascopy M5→D1,0,0.0,,,,,,,,,,,,,,NON CONCLUANT,,"No correction ≥15% from 4m-high in 2024-2025 bull run"
DCA Spot Tiered,best_2020_2023,2020-2023,yfinance GC=F D1,209,52.3,,,,,,,,,,,,-9.4,-6.8,+12.8,NON CONCLUANT,"ma4w corr_M=-5% mult_M=5×","L3 still 0 — COVID Gold only -12% (not -15%)"
DCA Adaptive,monthly_buy2x_sell0.5,2024-2025,Dukascopy M5→D1,48,24.0,,,,,,,,,,,,-94.1,-11.8,+48.5,NON CONCLUANT,"buy_mult=2.0 sell_frac=0.5 monthly","Best avg_price but sell rule depletes units"
DCA Adaptive,weekly_buy2x_sell0.5,2024-2025,Dukascopy M5→D1,202,101.0,,,,,,,,,,,,-15.8,-15.0,+48.5,NON CONCLUANT,"buy_mult=2.0 sell_frac=0.5 weekly",""
DCA Adaptive,monthly_buy2x_sell0.5,2020-2023,yfinance GC=F D1,48,12.0,,,,,,,,,,,,-6.6,-3.8,+13.2,NON CONCLUANT,"buy_mult=2.0 sell_frac=0.5 monthly","Same verdict both periods"
DCA Adaptive,CONCLUSION_never_sell,2020-2025,both,,,,,,,,,,,,,,,,,FINDING,,"6 years any timeframe: hold always beats sell on gold"
CFD Short A,rsi70_lb5_sl1_tp1x0.75_full,2020-2025,combined D1,39,7.8,43.6,,,-0.15,USD,5.78,USD,56.4,35.9,0.0,5.1,,,,NON CONCLUANT,"RSI_thresh=70 lb=5 sl_atr=1.0 tp1=0.75×","WR<50% expectancy near zero"
CFD Short A,rsi65_lb3_sl1_tp1x0.5_partial,2020-2025,combined D1,62,10.3,61.3,,,-0.28,USD,-17.60,USD,38.7,61.3,21.0,9.7,,,,NON CONCLUANT,"RSI_thresh=65 lb=3 sl_atr=1.0 tp1=0.5×","Best A config still negative expectancy"
CFD Short B,ext2_sl1_full_exit,2020-2025,combined D1,16,2.7,56.2,,, 9.22,USD,147.44,USD,43.8,37.5,6.2,12.5,,,,REFERENCE,"ext_k=2.0 sl_atr=1.0 full exit","Baseline reference — best single-exit"
CFD Short B,ext2_sl1_tp1x0.75_partial,2020-2025,combined D1,16,2.7,62.5,26.90,-26.29,6.95,USD,111.22,USD,37.5,62.5,37.5,31.2,,,,ACTIVE,"ext_k=2.0 sl_atr=1.0 tp1=0.75× partial","3-tranche BE after TP1"
